TIME_STAMP,Lon,Lat,LTE KPI CA Type,LTE KPI UL CA Type,Event Technology,Event LTE Events,Event 5G-NR/LTE Events,LTE KPI PCell M(Tx) x N(Rx) Ant,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network Rx Byte,Smart Phone Smart Throughput Mobile Network Tx Byte,Qualcomm Lte/LteAdv Intrafreq Measure PCell Frequency(DL)[MHz],Qualcomm Lte/LteAdv Intrafreq Measure PCell Frequency(UL)[MHz]
2022-08-08 11:34:02.300000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:02.400000,-118.236801,34.058800,NonCA,,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:02.600000,-118.236801,34.058800,NonCA,,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:02.700000,-118.236801,34.058800,,,,,,,0.033,0.013,2074,826,,
2022-08-08 11:34:02.800000,-118.236801,34.058800,NonCA,,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:03.000000,-118.236801,34.058800,NonCA,NonCA,LTE,,,4x4,,,,,1955.00,1875.00
2022-08-08 11:34:03.200000,-118.236801,34.058800,NonCA,NonCA,,,,,0.000,0.000,0,0,1955.00,1875.00
2022-08-08 11:34:03.300000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:03.400000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:03.500000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:03.600000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:03.700000,-118.236801,34.058800,NonCA,NonCA,,,,,31.311,0.150,1956940,9378,1955.00,1875.00
2022-08-08 11:34:03.800000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:03.900000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:04.000000,-118.236801,34.058800,NonCA,NonCA,LTE,,,4x4,,,,,1955.00,1875.00
2022-08-08 11:34:04.100000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:04.200000,-118.236801,34.058800,NonCA,NonCA,,,,,9.689,0.199,605589,12460,1955.00,1875.00
2022-08-08 11:34:04.300000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:04.400000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:04.500000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:04.600000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:04.700000,-118.236801,34.058800,NonCA,NonCA,,,,,8.582,0.215,536362,13414,1955.00,1875.00
2022-08-08 11:34:04.800000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:04.900000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:05.000000,-118.236801,34.058800,NonCA,NonCA,LTE,,,4x4,,,,,1955.00,1875.00
2022-08-08 11:34:05.100000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:05.200000,-118.236801,34.058800,NonCA,NonCA,,,,,8.560,0.162,535029,10149,1955.00,1875.00
2022-08-08 11:34:05.300000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:05.400000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:05.437716,-118.236801,34.058800,,,,reportStrongestCells,reportStrongestCells,,,,,,,
2022-08-08 11:34:05.500000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:05.600000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:05.700000,-118.236801,34.058800,NonCA,NonCA,,,,,8.714,0.318,544611,19890,1955.00,1875.00
2022-08-08 11:34:05.800000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:05.900000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:06.000000,-118.236801,34.058800,NonCA,NonCA,LTE,,,4x4,,,,,1955.00,1875.00
2022-08-08 11:34:06.100000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:06.200000,-118.236801,34.058800,NonCA,NonCA,,,,,8.879,0.275,554962,17191,1955.00,1875.00
2022-08-08 11:34:06.300000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:06.400000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:06.500000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:06.600000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:06.700000,-118.236801,34.058800,NonCA,NonCA,,,,,8.043,0.163,502692,10211,1955.00,1875.00
2022-08-08 11:34:06.800000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:06.900000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:07.000000,-118.236801,34.058800,NonCA,NonCA,LTE,,,4x4,,,,,1955.00,1875.00
2022-08-08 11:34:07.100000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:07.200000,-118.236801,34.058800,NonCA,NonCA,,,,,5.405,0.130,338490,8142,1955.00,1875.00
2022-08-08 11:34:07.300000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:07.400000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:34:07.500000,-118.236801,34.058800,NonCA,,,,,,,,,,1955.00,1875.00
